,Lp,code,url,title,rooms,price,price_m2,area,district
63,66,44rsG,https://www.otodom.pl/oferta/mieszkanie-w-kamienicy-stara-ochota-winda-0-ID44rsG.html#65ef490b31,"Mieszkanie W Kamienicy, Stara Ochota, Winda, 0%!!!",2,850000.0,12006.0,70.8,OCHOTA
64,67,44rts,https://www.otodom.pl/oferta/przy-metrze-odbierz-klucze-juz-teraz-zadzwon-ID44rts.html#65ef490b31,Przy metrze! Odbierz klucze już teraz! Zadzwoń!,4,1700000.0,13351.0,127.33,BIELANY
65,68,44rtf,https://www.otodom.pl/oferta/ciekawe-rozmieszczenie-3-pokoje-ID44rtf.html#65ef490b31,Ciekawe rozmieszczenie- 3 pokoje,3,473000.0,7674.0,61.64,BIAŁOŁĘKA
66,69,44rte,https://www.otodom.pl/oferta/polaczenie-wielkiego-miasta-i-spokoju-ID44rte.html#65ef490b31,Połączenie wielkiego miasta i spokoju.,2,387192.0,8318.0,46.55,BIAŁOŁĘKA
67,70,44rtc,https://www.otodom.pl/oferta/piekne-mieszkanie-z-ogrodkiem-nie-czekaj-ID44rtc.html#65ef490b31,"Piękne mieszkanie z ogródkiem, nie czekaj!",3,436000.0,7396.0,58.95,BIAŁOŁĘKA
68,71,44rtd,https://www.otodom.pl/oferta/widok-na-panorame-wwa-w-cenie-ostatnie-pietro-ID44rtd.html#65ef490b31,Widok na panoramę Wwa w cenie! Ostatnie piętro!,3,696000.0,11841.0,58.78,MOKOTÓW
69,72,44rtb,https://www.otodom.pl/oferta/najlepsza-lokalizacja-w-wwa-zapytaj-o-rabat-hit-ID44rtb.html#65ef490b31,Najlepsza lokalizacja w Wwa! Zapytaj o rabat! Hit,3,627000.0,10935.0,57.34,MOKOTÓW
70,73,446TS,https://www.otodom.pl/oferta/sarmacka-bezposrednio-153m-ogrod-taras-garaz-ID446TS.html#65ef490b31,"SARMACKA BEZPOŚREDNIO 153m, ogród, taras, garaż",5,1383000.0,9000.0,153.67,WILANÓW
71,74,44dp7,https://www.otodom.pl/oferta/wysokie-mieszkanie-z-tarasem-100m2-ID44dp7.html#65ef490b31,Wysokie mieszkanie z tarasem 100m2,4,775000.0,8960.0,86.5,BEMOWO
72,75,44rsE,https://www.otodom.pl/oferta/ciche-osiedle-idealne-na-wynajem-po-remoncie-ID44rsE.html#65ef490b31,"Ciche osiedle, idealne na wynajem, po remoncie",3,478000.0,10106.0,47.3,BIELANY
73,76,42kNQ,https://www.otodom.pl/oferta/idealne-mieszkanie-dla-mlodych-do-wprowadzenia-ID42kNQ.html#1fa0ab5241,Idealne mieszkanie dla młodych - do wprowadzenia!!,2,499000.0,7921.0,63.0,BIAŁOŁĘKA
74,77,41xRM,https://www.otodom.pl/oferta/apartament-89m-zacisze-ul-bajeczna-ID41xRM.html#1fa0ab5241,Apartament 89m Zacisze UL. BAJECZNA,4,700000.0,7955.0,88.0,TARGÓWEK
75,78,44fux,https://www.otodom.pl/oferta/sprzedam-mieszkanie-nowy-rakow-41-41-m2-ID44fux.html#1fa0ab5241,"Sprzedam mieszkanie Nowy Raków 41,41 m2",2,540000.0,13040.0,41.41,WŁOCHY
76,79,444Hv,https://www.otodom.pl/oferta/inwestycyjne-do-remontu-10-min-od-centrum-ID444Hv.html#1fa0ab5241,Inwestycyjne do remontu 10 min. od centrum,2,420000.0,8235.0,51.0,PRAGA-POŁUDNIE
77,80,43ACn,https://www.otodom.pl/oferta/kamienica-ul-hoza-2-pokoje-59-mkw-ID43ACn.html#1fa0ab5241,"Kamienica, ul. Hoża, 2 pokoje, 59 mkw.",2,885000.0,15000.0,59.0,ŚRÓDMIEŚCIE
78,81,44rrQ,https://www.otodom.pl/oferta/kamienica-w-remertowie-na-sprzedaz-ID44rrQ.html#1fa0ab5241,Kamienica w Remertowie na sprzedaż,10,1250000.0,3472.0,360.0,REMBERTÓW
79,82,44kb5,https://www.otodom.pl/oferta/mieszkanie-66-5-m2-4-pokoje-ul-skarbka-z-gor-ID44kb5.html#1fa0ab5241,"Mieszkanie 66,5 m2, 4 pokoje - ul. Skarbka z Gór",4,565000.0,8499.0,66.48,BIAŁOŁĘKA
80,83,42PBY,https://www.otodom.pl/oferta/przestronne-mieszkanie-z-widokiem-na-fort-bema-ID42PBY.html#1fa0ab5241,Przestronne mieszkanie z widokiem na Fort Bema,3,790000.0,10417.0,75.84,BEMOWO
81,84,44rrd,https://www.otodom.pl/oferta/apartament-inwestycyjny-11000zl-m2-netto-1pok-ID44rrd.html#1fa0ab5241,"Apartament Inwestycyjny, 11000zł/m2 netto, 1pok",1,326000.0,11241.0,29.0,WOLA
82,85,44rr9,https://www.otodom.pl/oferta/apartament-inwestycyjny-bliska-wola-1pok-super-ID44rr9.html#1fa0ab5241,"Apartament Inwestycyjny, Bliska Wola, 1pok, Super!",1,241000.0,13389.0,18.0,WOLA
83,86,44rr4,https://www.otodom.pl/oferta/7000zl-m2-tarchomin-bezposrednio-2pok-50m2-balkon-ID44rr4.html#1fa0ab5241,"7000zł/m2,Tarchomin,Bezpośrednio, 2pok,50m2,Balkon",2,353000.0,7060.0,50.0,BIAŁOŁĘKA
84,87,44rr6,https://www.otodom.pl/oferta/7200zl-m2-tarchomin-bezposrednio-2pok-49m2-balkon-ID44rr6.html#1fa0ab5241,"7200zł/m2,Tarchomin,Bezpośrednio, 2pok,49m2,Balkon",2,362000.0,7388.0,49.0,BIAŁOŁĘKA
85,88,44rr7,https://www.otodom.pl/oferta/tarchomin-bezposrednio-2pok-31m2-balkon-ID44rr7.html#1fa0ab5241,"Tarchomin, Bezpośrednio, 2pok, 31m2, Balkon,",2,271000.0,8742.0,31.0,BIAŁOŁĘKA
86,89,44rr8,https://www.otodom.pl/oferta/tarchomin-bezposrednio-2pok-31m2-balkon-ID44rr8.html#1fa0ab5241,"Tarchomin, Bezpośrednio, 2pok, 31m2, Balkon,",2,271000.0,8742.0,31.0,BIAŁOŁĘKA
87,90,44rr3,https://www.otodom.pl/oferta/7200zl-m2-tarchomin-bezposrednio-2pok-47m2-balkon-ID44rr3.html#1fa0ab5241,"7200zł/m2,Tarchomin,Bezpośrednio, 2pok,47m2,Balkon",2,341000.0,7255.0,47.0,BIAŁOŁĘKA
88,91,44rr1,https://www.otodom.pl/oferta/3pok-wola-deweloper-bezposrednio-51m2-wysoki-st-ID44rr1.html#1fa0ab5241,"3pok, Wola, Deweloper, Bezpośrednio,51m2,Wysoki St",3,553000.0,10843.0,51.0,WOLA
89,92,44rr2,https://www.otodom.pl/oferta/tarchomin-bezposrednio-2pok-39m2-balkon-ID44rr2.html#1fa0ab5241,"Tarchomin, Bezpośrednio, 2pok, 39m2, Balkon,",2,314000.0,8051.0,39.0,BIAŁOŁĘKA
90,93,44rqZ,https://www.otodom.pl/oferta/2pok-wola-deweloper-bezposrednio-49m2-wysoki-st-ID44rqZ.html#1fa0ab5241,"2pok, Wola, Deweloper, Bezpośrednio,49m2,Wysoki St",2,557000.0,11367.0,49.0,WOLA
91,94,44rr0,https://www.otodom.pl/oferta/2pok-wola-deweloper-bezposrednio-42m2-wysoki-st-ID44rr0.html#1fa0ab5241,"2pok, Wola, Deweloper, Bezpośrednio,42m2,Wysoki St",2,518000.0,12333.0,42.0,WOLA
92,95,44rqH,https://www.otodom.pl/oferta/wysoki-standard-rewelacyjna-lokalizacja-ID44rqH.html#1fa0ab5241,"Wysoki Standard, Rewelacyjna Lokalizacja",2,620000.0,13778.0,45.0,OCHOTA
93,96,43Ify,https://www.otodom.pl/oferta/centrum-47-m2-z-klimatem-dla-koneserow-ID43Ify.html#1fa0ab5241,Centrum 47 m2 z klimatem dla koneserów,2,588000.0,12511.0,47.0,CENTRUM
94,97,44rqr,https://www.otodom.pl/oferta/49m2-z-wyjsciem-na-park-szymanskiego-wola-ID44rqr.html#1fa0ab5241,49m2 z wyjściem na park Szymańskiego (Wola).,3,505000.0,10306.0,49.0,MAZOWIECKIE
95,98,44qZ9,https://www.otodom.pl/oferta/duzy-taras-widok-z-chmur-penthouse-ID44qZ9.html#1fa0ab5241,Duży TARAS_widok z chmur_Penthouse,4,1205800.0,15073.0,80.0,ŚRÓDMIEŚCIE
96,99,44qZi,https://www.otodom.pl/oferta/najlepsza-cena-rodzinne-4-pok-z-dwoma-tarasami-ID44qZi.html#1fa0ab5241,Najlepsza Cena ! Rodzinne 4 pok z dwoma Tarasami,4,983500.0,10245.0,96.0,ŚRÓDMIEŚCIE
97,100,44qZs,https://www.otodom.pl/oferta/cichy-apartament-z-loggia-i-panorama-na-centrum-ID44qZs.html#1fa0ab5241,Cichy apartament z loggią i panoramą na Centrum,3,736332.0,8562.0,86.0,ŚRÓDMIEŚCIE
98,101,44rqe,https://www.otodom.pl/oferta/luksusowy-apartament-z-przepieknym-widokiem-ID44rqe.html#1fa0ab5241,Luksusowy apartament z przepięknym widokiem,4,2520000.0,15750.0,160.0,MOKOTÓW
99,102,44qZy,https://www.otodom.pl/oferta/wybierz-mieszkanie-dla-siebie-atrakcyjna-lokaliza-ID44qZy.html#1fa0ab5241,Wybierz mieszkanie dla siebie/atrakcyjna lokaliza.,3,568000.0,10923.0,52.0,ŚRÓDMIEŚCIE
100,103,44qZD,https://www.otodom.pl/oferta/super-apartament-blisko-centrum-moze-byc-twoj-ID44qZD.html#1fa0ab5241,SUPER apartament blisko Centrum_może być Twój,3,685000.0,11048.0,62.0,ŚRÓDMIEŚCIE
101,104,44r01,https://www.otodom.pl/oferta/przytulne-i-funkcjonalne-mieszkanie-zainwestuj-ID44r01.html#1fa0ab5241,Przytulne i funkcjonalne mieszkanie_ZAINWESTUJ,2,534000.0,12419.0,43.0,WOLA
102,105,44r06,https://www.otodom.pl/oferta/wyjatkowe-pod-kazdym-wzgledem-apartamenty-na-woli-ID44r06.html#1fa0ab5241,Wyjątkowe pod każdym względem_apartamenty na Woli,1,417600.0,15467.0,27.0,WOLA
103,106,44r0c,https://www.otodom.pl/oferta/bliska-wola-nowe-mieszkania-od-dewelopera-ID44r0c.html#1fa0ab5241,Bliska Wola_NOWE mieszkania od Dewelopera,2,404600.0,10647.0,38.0,WOLA
104,107,44r0g,https://www.otodom.pl/oferta/kawalerka-w-26-pietrowym-apartamentowcu-na-woli-ID44r0g.html#1fa0ab5241,Kawalerka w 26 piętrowym apartamentowcu na Woli,1,238700.0,12241.0,19.5,WOLA
105,108,44r0l,https://www.otodom.pl/oferta/zamieszkaj-na-bliskiej-woli-mieszkania-od-333tys-ID44r0l.html#1fa0ab5241,Zamieszkaj na Bliskiej Woli_mieszkania od 333tys.,1,333200.0,11107.0,30.0,WOLA
106,109,44rqb,https://www.otodom.pl/oferta/trzy-pokoje-przy-metrze-bielany-ID44rqb.html#1fa0ab5241,Trzy pokoje przy metrze Bielany,3,1050000.0,10595.0,99.1,BIELANY
107,110,42AOP,https://www.otodom.pl/oferta/zoliborz-z-widokiem-na-kepe-potocka-ID42AOP.html#1fa0ab5241,Żoliborz z widokiem na Kępę Potocką,3,1425000.0,12955.0,110.0,ŻOLIBORZ
108,111,44dnb,https://www.otodom.pl/oferta/mieszkanie-patriotow-wawer-4-pokoje-blisko-skm-ID44dnb.html#1fa0ab5241,Mieszkanie Patriotów Wawer 4 pokoje blisko SKM,4,850000.0,10131.0,83.9,WAWER
109,112,44rpK,https://www.otodom.pl/oferta/3-pokoje-na-ochocie-pod-dzialalnosc-i-dla-rodziny-ID44rpK.html#1fa0ab5241,3 pokoje na Ochocie/Pod działalność i dla Rodziny/,3,570000.0,9194.0,62.0,OCHOTA
110,113,44rpG,https://www.otodom.pl/oferta/dwupokojowe-mieszkanie-do-kapitalnego-remontu-ID44rpG.html#1fa0ab5241,Dwupokojowe mieszkanie do kapitalnego remontu,2,360000.0,7129.0,50.5,BEMOWO
111,114,43pSJ,https://www.otodom.pl/oferta/czteropokojowe-mieszkanie-z-antresola-ID43pSJ.html#1fa0ab5241,Czteropokojowe mieszkanie z antresolą,4,1199000.0,11990.0,100.0,ŻOLIBORZ
112,115,44rpA,https://www.otodom.pl/oferta/zamieszkaj-w-kamienicy-na-nowolipkach-ID44rpA.html#1fa0ab5241,Zamieszkaj w kamienicy na Nowolipkach !,2,573000.0,11814.0,48.5,ŚRÓDMIEŚCIE
113,116,44qTY,https://www.otodom.pl/oferta/stylowe-3-pokojowe-55m2-ochota-obok-blue-city-ID44qTY.html#1fa0ab5241,Stylowe 3-pokojowe 55m2 Ochota obok Blue City,3,720000.0,13091.0,55.0,OCHOTA
114,117,44i1H,https://www.otodom.pl/oferta/super-cena-gotowe-do-zamieszkania-klimatyzacja-ID44i1H.html#1fa0ab5241,"SUPER CENA, gotowe do zamieszkania, KLIMATYZACJA",3,602000.0,8600.0,70.0,URSUS
